<<<<<<< HEAD:out/artifacts/Recommander_for_Social_Places_war_exploded/mongodata_train.csv
userName,businessId,reviewrating
user1,7Qvh0oFRsoqrO9qNlcMKXQ,3
user2,P3NfoMjBy_o2BTNNZ-5okg,2
user3,U5tVK8ChZPP_72ldZPmqAA,5
user4,zIXZtgiir9CVF-iZeeAvaQ,4
user1,lYKn_TKwzudoIYplL2tGDg,5
user3,xAZx3d8rEBzKVtOI5Vf5xA,5
user2,zEBMoH7ibF3YZrlowkv88A,4
user3,IApmj3n3RAikUKqhKYiqmA,3
user1,-l_EorQgXO9VImb5AvV4nQ,5
user2,HoNTrjxDYquS_o_tYupHrg,4
user1,qD3-5yqSyPiz-VpJtPsnkg,5
user7,t_0jtlPiS9YK86LjhTTleg,5
user5,hO5ZAyr7yqBJFWN_CMMPNA,4
user6,TFmh4YqjovxtxQ8K2k3ing,5
user7,IApmj3n3RAikUKqhKYiqmA,4
user8,nf5rlV2qL3g2n_BoC4c7Dw,4
user1,X8ZS-dgiMIJvhwf9SaDnjw,4
=======
popcorn,xJslflSowmRWzAAB4lvtAQ,5
popcorn,JION8hhg7q6zyayHYwhxIw,2
popcorn,8vFJH_paXsMocmEO_KAa3w,5
popcorn,DXwSYgiXqIVNdO9dazel6w,3
popcorn,8-eWe05s8Z7I1AejHXNsEA,4
popcorn,Rn3o8GcYBPFJX5MWJn0r1Q,5
popcorn,wiNuegM8MNw9WIP0wfMmeA,5
popcorn,mspxW1oelEoo6YJskI5cJg,3
popcorn,mVhkriEZ_lvqCLwzjm6etA,4
popcorn,0PPM0wxA2r8XVM8vbMm9Pw,5
test,DXwSYgiXqIVNdO9dazel6w,5
test,Xh5vGcoKk-SaBw7GUZDFxg,4
test,Ydf5dgFsGhMSP61Ht7TekA,3
test,mVhkriEZ_lvqCLwzjm6etA,4
test,EYjyi_lytYaM1Ty7-kNKSg,3
test1,GEpXn9rtTMtIj5NsGFiNQw,4
test1,zEBMoH7ibF3YZrlowkv88A,5
test1,3NV3TTsKGqW1WEbEQv_yBA,2
test1,Z2nOMPedr7XYhgYhILJjEA,2
test1,zEBMoH7ibF3YZrlowkv88A,5
user1,DXwSYgiXqIVNdO9dazel6w,5
user1,7Es7EbTy_s1btAdowLeiPQ,4
user1,7Es7EbTy_s1btAdowLeiPQ,3
user2,8vFJH_paXsMocmEO_KAa3w,3
user9,8vFJH_paXsMocmEO_KAa3w,4
user1,Ydf5dgFsGhMSP61Ht7TekA,5
user1,mspxW1oelEoo6YJskI5cJg,5
user1,mspxW1oelEoo6YJskI5cJg,5
user1,c4AnMXr95TbXflw4jr8lcQ,3
user1,0PPM0wxA2r8XVM8vbMm9Pw,5
user1,Z2nOMPedr7XYhgYhILJjEA,3
user2,Z2nOMPedr7XYhgYhILJjEA,1
user2,pi_ckl5GTJXsCAMB__Cogg,5
user2,E-gZcYNh9rSN7viJ_I9kzQ,5
user2,mspxW1oelEoo6YJskI5cJg,4
user2,7gaJhHKf1o3JLf-43rBNIw,3
user2,7Es7EbTy_s1btAdowLeiPQ,5
user3,763ARZeDvQfhXZvkDlKtFw,5
user3,GbC6XO60SlLnlIOTbJE-Ew,2
user3,GbC6XO60SlLnlIOTbJE-Ew,2
user3,763ARZeDvQfhXZvkDlKtFw,5
user3,s1JPKx5lAeoq7QU8pmN-5A,5
user3,JlqeXHn4ouz_mwtPJXkVWQ,2
user3,wiNuegM8MNw9WIP0wfMmeA,3
user3,mRVgdVXqlO9SzhM-o4G5BQ,4
user3,bQcK-QRHp4vaW7MwvkeoYQ,4
user3,8-eWe05s8Z7I1AejHXNsEA,3
user3,8-eWe05s8Z7I1AejHXNsEA,5
user3,mspxW1oelEoo6YJskI5cJg,3
user3,cxAkuwv7p4gm4Coixw7h9A,4
user5,Z2nOMPedr7XYhgYhILJjEA,3
user5,9suvIy-RGPosPcmG3IOqcQ,5
user5,c-33j2eSYNCppwBVLUFpzg,3
user5,U_OhWaDWwym5garJ5KyYMA,3
user5,OJXCtN8jIYk37_FnxDHaYw,3
user5,2cDt9At556hf146QH_XkhQ,4
user5,Rn3o8GcYBPFJX5MWJn0r1Q,3
user5,cx4CJLlDqcjDJb1ec9pFPQ,4
>>>>>>> c97befea24b1cc34642155751929523bb7dd52eb:web/mongodata_test.csv
